source,target
"মনিবের হুকুমটা শুনল সে হাঁ ক’রে, ফিরে দিতে চ’লে গেল কিছু দেরি না ক’রে।",তিনি প্রভুর আদেশ শুনেছিলেন এবং দেরি না করে ফিরে যেতে চেয়েছিলেন।
আজকাল মহেন্দ্রের সম্মুখে সকল কথা অসংকোচে বলা কঠিন।,আজকাল মহেন্দ্রের সামনে সব কথা বলা কঠিন।
কতদিন এইরূপ সময়ে সুচরিতা তাঁহার কাছে আসিয়া বসিয়াছে এবং সুচরিতার অনুরোধে পরেশবাবু তাহাকেও পড়িয়া শুনাইয়াছেন।, সময় সুচরিত তাঁর কাছে কতদিন এসেছেন এবং সুচরিতের অনুরোধে পরেশবাবুও তাঁকে পড়ে
তৎক্ষণাৎ কেদারেশ্বরের বিকশিত দন্তপংক্তির উপর যবনিকাপতন হইল।,সঙ্গে সঙ্গে কেদারেশ্বরের বিকশিত দন্তপংক্তির ওপর পর্দা পড়ে যায়।
বিনোদিনী।,বিনোদী।
(স্বগত) কী সর্বনাশ!,(প্রাক্তন) কী এক বিপর্যয়!
নিজের এই ছবিটি কুমুর চোখে পড়ে নি।,তার নিজের ছবি কুমি দেখতে পায়নি।
"সুচরিতা জিজ্ঞাসা করিল, “বাবা, একি!”","সুচরিত জিজ্ঞেস করল, ""বাবা, কি!"""
মোহ জিনিসটা থাকে অতীতকে আর ভবিষ্যৎকে জড়িয়ে।,মোহ অতীত এবং ভবিষ্যতের সাথে জড়িত।
"নীলু বললে, ঐটেই হচ্ছে তর্কের বিষয়।","নিলু বলল, এটাই তর্কের বিষয়।"
কমলার প্রশ্ন শুনিয়া উমেশ কিছু না বলিয়া একটুখানি হাসিল।,কমলার প্রশ্ন শুনে উমেশ কিছু না বলে একটু হেসেছিলেন।
"আমি বলি, তা হতে পারে, কিন্তু কোন্‌খানটাতে আছে তা জানা চাই এবং সেইখানটাতেই জোর করে ওদের বসিয়ে দিতে হবে, নইলে ওরা বিরোধ করবেই।","মি বললাম, হয়তো এটা হতে পারে, কিন্তু আমি জানতে চাই এটা কোথায়, আর আমাকে জোর"
"নীলকুঠির সাহেবের গোমস্তাগিরি করে খাই, তার চেয়ে আর তো কিছু বলবার দরকার করে না।",নীলকুঠির সাহেবের গোমস্তাগিরি করে খাওয়ার চেয়ে বেশি কিছু বলার দরকার নেই।
আবার সমস্ত ঘুলিয়ে উঠল।,"আবার, সব কিছু বদলে গেল।"
"বিহারী মনে মনে কহিল, “এমন সুন্দর প্রেমের সংসার ছারখার করিয়া দিলি!”","বিহারী মনে মনে বলল, ""তুমি এত সুন্দর প্রেমের পরিবার ধ্বংস করে দিয়েছ!"""
"ভেবেছিলুম, এইবার প্রমাণ হয়ে যাবে, স্বর্গ নিরপেক্ষ, নিরবলম্ব, আপনাতেই আপনি সম্পূর্ণ।","আমি ভেবেছিলাম, এবার প্রমাণ হবে যে, স্বর্গ নিরপেক্ষ, নীরব এবং তুমি নিজেই সম্পূর্ণ।"
"হঠাৎ যদি মরণের ধাক্কা লাগে, নিবে যায় দুই তারার লণ্ঠন, দোঁহে এক হয়ে ওঠবার আগুন ওঠে জ্বলে।","ঠাৎ যদি মৃত্যু আঘাত করে, তাহলে দুটো তারার লণ্ঠন নেবে, একটা করে ডোনের আগুন জ"
কালিকার কাড়াকাড়ি-করা সেই বিষবৃক্ষখানি নীচের বিছানায় পড়িয়া আছে।,কালিকার হাতের বিষবৃক্ষটি নিচের বিছানায় পড়ে আছে।
(দ্রুত প্রবেশ করিয়া) এ কী রকমের ডাকাতি দিদি!,(দ্রুত প্রবেশ করুন) কি ধরনের ডাকাতি!
অথচ শাস্তি পেতে হল।,কিন্তু তাকে শাস্তি দেওয়া হয়েছিল।
যেখানে গাছতলায় ব’সে বুড়ো খেত আগলায় আর ক্ষণে ক্ষণে ঘুমে ঢুলে পড়ে সেখানে নাতনি গিয়ে তার গলা জড়িয়ে ধরে; বুড়োর বুকের হাড়গুলো পর্যন্ত খুশি হয়ে ওঠে।,"েখানে বৃদ্ধ লোকটি মাটিতে বসে খেতে থাকে এবং এক মুহূর্তে ঘুমিয়ে পড়ে, সেখানে নাতনী গিয়ে তার গলা জড়"
"বললে, “আচ্ছা আমি দিয়ে দেব, কিন্তু তার পরে?”","তিনি বলেছিলেন, ""ঠিক আছে, আমি তোমাকে দেব, কিন্তু তারপর?"""
অনেক দূর হতে অনেক আশা করিয়া তোরা ঠাকরুনকে দর্শন করিতে আসিয়াছিস–চল্‌ একবার মন্দিরে চল্‌।,অনেক দূর থেকে আসার আশা নিয়ে তুমি ঠাকুরুনকে দেখতে এসেছ- চল মন্দিরে যাই।
শুনে এদের সকলের আন্‌তারা ফাঁচকলিয়ে যাক।,তাদের সবাইকে নিয়ে আসতে দাও।
খাট যেখানে ছিল সেখান হইতে একটুখানি সরানো।,বিছানাটা যেখান থেকে ছিল সেখান থেকে একটু দূরে।
"কাব্যশাস্ত্রে মেয়েরাই অভিসার করে এসেছে, সংসারবিধিতে বাধা আছে বলেই কবিদের এই করুণা।","ারীরা কাব্যে আকৃষ্ট হয়েছে, কারণ পরিবারের নিয়ম-কানুনে বাধা রয়েছে, তাই কবিদের কর"
হাত আছে মাথাটা কই।,"তোমার হাত আছে, মাথা কোথায়?"
আপনার তুলনায় আমি কিছুই নই সে কথা নিশ্চয় জানবেন।,তুমি জানবে আমি তোমার চেয়ে বেশি কিছু নই।
কেটি মিটারের আসল নাম কেতকী।,কেটি মিটারের আসল নাম কেটকি।
ঠিক এইরকম কথা তোমার কাছে অনেকবার শুনেছি।,আমি তোমার কাছ থেকে অনেকবার এই কথাই শুনেছি।
আশ্রয় উপকূল জগৎ-সংসার ক্রমেই দূর হইতে দূরে চলিয়া যাইতেছে।,আশ্রয়ের উপকূল ধীরে ধীরে দূর থেকে দূরে সরে যাচ্ছে।
কিন্তু কোনো রাস্তা না পেয়ে ওর প্রাণ হাঁপিয়ে উঠছে।,কিন্তু কোন উপায় না থাকায় তার জীবন শ্বাসরুদ্ধ হয়ে যাচ্ছে।
অত্যন্ত বেশি ইন্‌টেলেক্‌চুয়াল।,এটা খুবই অন্তর্মুখী।
তোমারই যুগল-রূপ প্রকাশ হোক আমার জীবনে।,তোমার যুগল-রূপ আমার জীবনে প্রকাশ পাবে।
"বর দেবার শক্তি দেবতার আছে, কিন্তু বর নেবার শক্তি আমাদের থাকা চাই।",বর দেওয়ার ক্ষমতা ঈশ্বরের রয়েছে কিন্তু বর পাওয়ার জন্য আমাদের শক্তি থাকা দরকার।
"কাজের দিনে ব’সে ব’সে ছতলা বাড়ি গাঁথলেম, ছুটির দিনে একে একে সব-ক’টা তলা ধূলিসাৎ করতে হল।",াজের দিনে আমি ব'সে ছয়তলা একটা বাড়ি নির্মাণ করেছিলাম আর ছুটির দিনে আমাকে সমস্ত মেঝে
এ বিশ্বাস আমার ভাঙিয়ো না।,আমার বিশ্বাস ভেঙে ফেলবেন না।
তোমার থেকে কতদূরে!,তোমার থেকে কত দূরে!
আমার বয়স যথেষ্ট হইয়াছে; আমার কী শক্তি আছে আর কী নাই তাহার মীমাংসা হইয়া গিয়াছে।,"আমার বয়স অনেক বেশি; আমার কী আছে এবং কী নেই, তা নির্ধারণ করা হয়েছে।"
"তোমরা কী দেখিয়া, কতটুকু দেখিয়া ভোল।","তুমি কি দেখ, তুমি কতটুকু দেখ।"
পূজার আর বারো দিন বাকি আছে।,পূজার জন্য ১২ দিন বাকি আছে।
"রাজা বললেন, তুমি অন্ন নিয়ে চলো, আর আমাকে দেখিয়ে দাও সেইসব ফলমূল যা তুমি নিজে জড়ো করে খাও।","াজা বললেন, ""তুমি খাদ্য নিয়ে যাও, এবং আমাকে সেই ফল দেখাও, যা তুমি নিজে সং"
"প্রতিবেশী চন্দ্রমোহন তাহার ঘরের বাহিরে বসিয়া তামাক খাইতেছিল; সে কহিল, “কে ও।”","প্রতিবেশী চন্দ্রমোহন তাঁর বাড়ির বাইরে বসে তামাক খাচ্ছিলেন। তিনি বললেন, ""কে সে।"""
"প্রিয়ে, কাশীধামে বুঝি পঞ্চশর ত্রিলোচনের ভয়ে এগোতে পারেন না?","প্রিয়, আপনি কি কাশীধামে পঞ্চশর ত্রিলোচনের ভয়ে যেতে পারেন না?"
"আমাদের চেয়ে তিনি কিসে ছোটো যে, পিতা তাঁহাকে অপমান করিবেন?","সে আমাদের চেয়ে ছোট কেন যে, বাবা তাকে অপমান করবে?"
"কেটি ঝাঁজিয়ে উঠে মাথা নাড়া দিয়ে বললে, “আমরা তো জানি, এ বাড়িতে তাঁর যাওয়া-আসা আছে ” ।”","কেটি মাথা নেড়ে বলল, ""আমরা জানি সে এই বাড়িতে যাচ্ছে।"""
এমন সময় বিহারী ঘরে প্রবেশ করিল।,সে সময় বিহারী ঘরে প্রবেশ করে।
"এ কথা আমি ভালোরূপ বিবেচনা করে দেখে স্থির করেছি, স্ত্রীলোকের উৎসাহ পুরুষের সমস্ত বৃহৎ কার্যের মহৎ অবলম্বন।","মি এটা ভালভাবে বিবেচনা করে সিদ্ধান্ত নিয়েছি যে, নারীর উৎসাহ পুরুষের সমস্ত মহৎ কাজের এক মহান অবলম"
তার একমাত্র কারণ সমস্ত দেশ তোমাদের ব্রত নেয় নি।,"এর একমাত্র কারণ হল যে, সমস্ত দেশ আপনার অঙ্গীকার গ্রহণ করেনি।"
"আশাকে বিহারী ভালোবাসে, এ কথা যে এমন রূঢ় করিয়া, এমন গর্হিতভাবে মহেন্দ্র মুখে উচ্চারণ করিতে পারিবে, তাহা বিহারী স্বপ্নেও কল্পনা করে নাই।","িহারী এমনকি কল্পনাও করতে পারেনি যে, বিহারী আশাকে এত রূঢ়ভাবে ভালবাসতে পারে, মহেন্দ্র এমন উ"
গৌরবের আহ্বানে নেমেছিলেম কিন্তু লজ্জা বেড়ে উঠছে প্রতিদিন।,"আমি গৌরবের আহ্বান নিয়ে এসেছি, কিন্তু প্রতিদিন লজ্জা বাড়ছে।"
"যাও, নীচে যাও।","যাও, নিচে যাও।"
বিশ্বকর্মা আমারই ফর্মাস খাটছেন না কি?,বিশ্বকর্মা কি আমার ফরমাস নিয়ে কাজ করছে না?
এদের খাটাবার জন্যেই মোহ একটা মস্ত শক্তি।,তাদের কাজ করার জন্য মোহ এক বিরাট শক্তি।
ঠিক সেই মুহূর্তেই আমাদের ঠাকুরবাড়ি থেকে আরতির কাঁসর ঘণ্টা বেজে উঠল।,সেই মুহূর্তে আমাদের ঠাকুরবাড়ি থেকে আরতির ঘণ্টা বেজে উঠল।
এ টাকা ব্যাঙ্কে নিয়ে যায় সাধ্য কার?,এই টাকা কে ব্যাঙ্কে নিয়ে যেতে পারবে?
আপত্তি করবার মুখ ছিল না।,আপত্তি করার কোনো মুখ ছিল না।
"যোগ্যের জন্যে পৃথিবীতে অনেক পুরস্কার আছে, অযোগ্যের জন্যেই বিধাতা কেবল এই ভালোবাসাটুকু রেখেছিলেন।","যোগ্যদের জন্য পৃথিবীতে অনেক পুরস্কার রয়েছে, আর ঈশ্বর কেবল অযোগ্যদের জন্যই এই ভালবাসা রেখেছিলেন।"
আপনারই আন্তরিক মাহাত্ম্যে।,তোমার আন্তরিক মহিমায়।
"আমার স্বামী বলতেন, দরকার কী তোমার ঐ আসনের?","আমার স্বামী বলত, তোমার ঐ সিটে কি দরকার?"
"(শিক্ষকের প্রতি) ওস্তাদজি, আজ ছুটি।","(শিক্ষকের কাছে) মাস্টারজি, আজ ছুটি।"
"এইটুকু শ্রদ্ধা, এইটুকু বিশ্বাস, এখনো বাকি আছে!","শুধু সম্মান, একটু বিশ্বাস, এখনো বাকি আছে!"
"তার সাঁতার কাটতে মন, তার বনে বেড়াতে মন, সে গান করে, সে যন্ত্র বাজায়।","সে সাঁতার কাটতে, বনে হাঁটতে, গান গাইতে, যন্ত্র বাজাতে পছন্দ করে।"
"ব্যস্ত হয়ে জিগ‍্‍গেস করেছি, কী কাণ্ড।","আমি ব্যস্ত হয়ে জিজ্ঞেস করেছি, কী ব্যাপার।"
"* * * মাটি থেকে গড়া হয়, পুন হয় মাটি, আবার গড়িতে তারে দিনরাত খাটি।"," * * মাটি থেকে তৈরি, পুনরায় মাটি করা হয়, এবং তারটি মাটিতে দিনরাত কাজ"
যাতে সেটা উছলে উছলে শুকনো ধুলোয় মারা না যায় সেটা নিতান্তই করা চাই।,"যাতে এটা উত্থাপিত হয়, তা হলে আমরা শুষ্ক ধুলোয় মারা না যাই।"
"তুমি যে আশাকে ভালোবাস, সে কথা তুমি যখন নিজে জানিতে না, তখনো আমি জানিতাম।","আমি জানতাম, তুমি যে আশাকে ভালোবাসো, তা যখন তুমি জানতে পারো নি।"
আর ফিরল না।,আর সে ফিরে আসেনি।
"তবু কোনো বই-পড়া অভিজ্ঞতার সঙ্গে কিছুমাত্র না মিলিলেও, আশ্চর্য এই যে, তাহার উচ্চশিক্ষিত মন ভিতরে-ভিতরে একটি অপরূপ রসে পরিপূর্ণ হইয়া এই ছোটো মেয়েটির দিকে অবনত হইয়া পড়িয়াছিল।","িন্তু, বই পড়ার অভিজ্ঞতার সঙ্গে কোনো মিল না থাকা সত্ত্বেও, অবাক হওয়ার মতো বিষয় হল"
"আমি জানি, একজন ডাক্তার তাঁহার কোনো বিশেষ বন্ধুর কাছে আমাকে কনকচাঁপা বলিয়াছিলেন।","আমি জানি, একজন ডাক্তার আমাকে তার এক বিশেষ বন্ধুর কাছে কনকচাপা বলে অভিহিত করেছিলেন।"
"সেখানে গিয়া সে কী দেখিবে, কী শুনিবে, তাহার কিছুই ঠিকানা নাই।","সেখানে গিয়ে তিনি কী দেখতে পাবেন, কী শুনতে পাবেন, সেই বিষয়ে কোনো ঠিকানা নেই।"
আমরা কী করতে পারি!,আমরা কি করতে পারি?
বিপিন।,বিডেন।
নাগকেশরের সকল সোনালি রেণু যে বৃষ্টিতে ধুয়ে যায় এও কি সেই বৃষ্টিতেই ধুয়ে যাবে।,"নাগকেশরের সমস্ত সোনালি রেণু যে বৃষ্টিতে ধুয়ে যায়, তা কি বৃষ্টিতে ধুয়ে যাবে?"
"এইবার ভর করো আমার ‘পরে, বাণী দাও, বাণী দাও!","এখন আমার 'পরে' ভর দাও, আমাকে বার্তা দাও, আমাকে দাও!"
বস্তু নিয়ে মারামারি কাটাকাটি পড়ে গেছে।,বস্তু নিয়ে লড়াই চলছে।
আমারও সেই দশা।,আমার অবস্থাও একই।
আজ আমার সন্ধানে এক জায়গায় ম্যাঙ্গানিজের লক্ষণ যেন ধরা পড়েছিল।,"আজ, আমার খোঁজে, ম্যাঙ্গানিজের লক্ষণগুলো এক জায়গায় ধরা পড়েছিল।"
তাহারা অবশ্য তাহাদের মনিবদের কাছেই এইরূপ শিখিয়াছে নহিলে তাহারা সাহস করিত না।,"বশ্য, তারা তাদের প্রভুদের কাছ থেকে এই বিষয়টা শিখেছিল, তা না হলে তারা সাহস"
"বললেন, ‘ঐখানে রেখে গেলেম আমার সদ্‌গতি, আর সদ্‌গতি আমার দেশের’।","িনি বললেন, 'আমি সেখানে আমার ভালো গতি রেখে গেলাম, আর আমার দেশের ভালো গ"
"আশা কহিল, “কখনো না।”","আশা বলেছিল, ""কখনও না।"""
"জানলার কাছে গিয়ে দেখলুম, তিনি ঘোড়া ছুটিয়ে দিয়ে চলে গেলেন।","আমি যখন জানালায় গেলাম, আমি দেখলাম সে ঘোড়াটাকে ছেড়ে চলে গেছে।"
দেখিতে দেখিতে রুক্মিণী কাছে আসিয়া পৌঁছিল।,রুকমিনি কাছে এসে উপস্থিত হন।
"চন্দনে, হাতির দাঁতে, আর সোনামানিকে হাতি বোঝাই হল।","চন্দন, হাতির দাঁত এবং সোনামানিকে হাতি বোঝাই করা হয়েছিল।"
"প্রতাপাদিত্য উচ্চতর স্বরে ডাকিলেন, “প্রহরী।”","প্রতাপাদিত্য উচ্চকণ্ঠে বললেন, ""রক্ষী।"""
মাঠের মধ্যে রৌদ্রে রাখালদের বসিবার নিমিত্ত অশথ বট খেজুর সুপারি প্রভৃতির এক বন আছে– যুবরাজ তাহার মধ্যে গিয়া প্রবেশ করিলেন।,াঠে রাখালদের সূর্যে বসার জন্য অশথ বট খেজুর সুপারি ইত্যাদি বন ছিল - যুবরাজ সে
আমি কি তোমাদের মতো লিখিতে পড়িতে জানি।,আমি কি তোমার মতো পড়তে জানি?
মহেন্দ্র।,মহেন্দ্র।
"তাহার মুখ দেখিলেই বুঝিতে পারিবি, তার বুকে মৃত্যুবাণ বাজিয়াছে।","যখন তুমি তার মুখ দেখবে, তুমি বুঝতে পারবে যে তার বুকে একটা মৃত্যু হয়েছে।"
কার্তিকেয়।,কার্তিকেয়।
"সমস্ত শরীরের রক্ত আশার কানের মধ্যে গিয়া শব্দ করিতে লাগিল, সে চক্ষু মুদ্রিত করিল।",সমস্ত শরীরের রক্ত আশার কানে শব্দ করতে শুরু করে এবং সে তার চোখ মুদ্রিত করে।
"২ এক ছেলে এসে তাকে বললে, ‘আমরা খেলব।","২ একটা ছেলে এসে তাকে বলেছিল, 'আমরা খেলব।"
স্ত্রীলোকের মন!,মহিলাটির মন!
"আমি ভাই, বিভার কান্না দেখিতে পারি না।","ভাই, আমি বিভার কান্না দেখতে পাচ্ছি না।"
বাহিরে মস্‌মস্‌ শব্দ শুনা গেল।,বাইরে একটা মস মস শব্দ শোনা গেল।
কেটি তখন বেশি কথা বলতে শেখে নি।,কেটি বেশি কথা বলতে শেখেনি।
তুই যদি ছেড়ে যাস তা হলে আমার চিরজন্মের সাধনাকে আমি হারাব।,"তুমি যদি চলে যাও, তাহলে আমি আমার অনন্ত জীবনের অভ্যাস হারাব।"
"মুশকিল এই, এদের কাছে মরাটা শেষ প্রমাণ নয়, ওরা চক্ষু বুজে ঠিক করে রেখেছে তার উপরেও কিছু আছে।","টা কঠিন যে, মৃত্যুই তাদের শেষ প্রমাণ নয়, তারা চোখ বন্ধ করে রাখে এবং সিদ্ধান্ত "
"কে না জানে, তুমি ও পাড়ার লোটনগুণ্ডার দলের সর্দার নও।","কে জানে না, তুমি ঐ এলাকার লোটনগুন্ডার দলের নেতা নও।"
"আশার সাংসারিক অপটুতায় সে ক্ষণে ক্ষণে বিরক্ত হয়, কিন্তু প্রকাশ করিয়া বলে না।","তিনি ক্ষণিকের জন্য আশার পারিবারিক অদক্ষতায় বিরক্ত হন, কিন্তু তা প্রকাশ করেন না।"
সেই আঘাতের প্রতিঘাত স্বরূপে তাহার সমস্ত তরঙ্গিত হৃদয় বিনোদিনীর দিকে সবেগে ধাবমান হইতেছিল।,এই আঘাতের প্রতিঘাত হিসেবে তাঁর সমস্ত তরঙ্গিত হৃদয় বিনোদীর দিকে ছুটে যাচ্ছিল।
শ্রীশ।,শ্রীশ।
শাক-চুরি তো তাঁহার অভ্যাস নাই।,শাক-সবজি চুরি করা তার অভ্যাস নয়।
ভালো লাগিবার কথা নহে।,এটা ভাল হওয়ার কথা না।
"তিনি বললেন, তুমি একলা পারবে কেন?","সে বলল, তুমি একা কেন পারবে?"
আজ সন্ধ্যাবেলায় রায়গড় ছাড়িয়া যাইতেই হইবে বলিয়া উদয়াদিত্য স্থির করিয়া রাখিয়াছেন।,উদয়াদিত্য আজ সন্ধ্যায় রায়গড় ত্যাগ করার সিদ্ধান্ত নিয়েছেন।
হাজার হাজার ছেলে কোমর বেঁধে ধরল দড়ি।,হাজার হাজার ছেলে তাদের কোমর বেঁধে দড়িটা ধরে রেখেছিল।
