novel_name,tokenized_sentence
একটি গহিন গ্রাম,"রাস্তার পাশে রিকশা-ভ্যানটা থামিয়ে রিকশাওয়ালা নেমে গামছা দিয়ে মুখ মুছে বলল, ""আর সামনে যাবে না।"
একটি গহিন গ্রাম,বাকিটা হেঁটে যেতে হবে।
একটি গহিন গ্রাম,"আজকাল যেখানেই কিছুদিন পরে যান, গিয়ে জায়গাটা চিনতে পারেন না।"
একটি গহিন গ্রাম,ফাঁকা একটা জায়গা বাড়িঘরে ঘিঞ্জি হয়ে যায়।
একটি গহিন গ্রাম,"এই এলাকার কোনো পরিবর্তন হয়নি, সেই ছোট থাকতে যে রকম দেখেছিলেন, এখনো সে রকমই আছে।"
একটি গহিন গ্রাম,"রাশা রিকশা-ভ্যানে পা তুলে বসেছিল, এবার নেমে পড়ে।"
একটি গহিন গ্রাম,"গত রাতে তারা রওনা দিয়েছে, সারা রাত ট্রেনে কেটেছে, সকালে নেমে বাস ধরেছে।"
একটি গহিন গ্রাম,"বাসের পর স্কুটার, তারপর রিকশা-ভ্যান।"
একটি গহিন গ্রাম,বাকিটা হেঁটে যেতে হবে।
একটি গহিন গ্রাম,রাশা অন্যমনস্কভাবে চারপাশে তাকাল কিন্তু খুব ভালো করে কিছু দেখল বলে মনে হয় না।
একটি গহিন গ্রাম,"একটু আগে জলার ধারে গাছের ওপর একটা মাছরাঙা পাখি বসেছিল, এত সুন্দর রঙিন পাখি সে জীবনে কখনোই দেখেনি, কিন্তু তার পরও পাখিটা দেখে তার ভেতরে কোনো আনন্দ হলো না।"
একটি গহিন গ্রাম,"আসলে তার ভেতরটা এখন মনে হয় মরে গেছে, আনন্দ বা দুঃখ কোনো অনুভূতিই হচ্ছে না।"
একটি গহিন গ্রাম,"মনে হচ্ছে, চার পাশে যেটা ঘটছে তার পুরোটাই একটা দুঃস্বপ্ন।"
একটি গহিন গ্রাম,"মনে হচ্ছে, এক্ষুণি তার ঘুম ভেঙে যাবে, আর ঘুম থেকে উঠে দেখবে, সে তার ঘরে কম্পিউটারের সামনে বসে আছে।"
একটি গহিন গ্রাম,"রাশা জানে, এটা দুঃস্বপ্ন নয়, সত্যি।"
একটি গহিন গ্রাম,"তাই সম্পূর্ণ অপরিচিত এক ধরনের দুঃখ, হতাশা আর আতঙ্কে বুকের ভেতরটা অসাড় হয়ে আছে।"
একটি গহিন গ্রাম,"আম্মু রিকশা-ভ্যান থেকে নেমে রাশাকে বললেন, ‘নেমে আয় মা।"
একটি গহিন গ্রাম,হেঁটে যেতে হবে।
একটি গহিন গ্রাম,পারবি না?
একটি গহিন গ্রাম,রিকশাওয়ালা ভ্যান থেকে আম্মুর ছোট ব্যাগ আর রাশার বড় স্যুটকেসটা নামাল।
একটি গহিন গ্রাম,এই স্যুটকেসের মধ্যে তার বাকি জীবনটা কাটানোর জন্য যা যা লাগবে সেটা আঁটানো হয়েছে।
একটি গহিন গ্রাম,"আম্মু বারবার বলেছেন, ‘যা যা লাগবে সব নিয়ে নে মা।"
একটি গহিন গ্রাম,আর তো নিতে পারবি না।
একটি গহিন গ্রাম,অনেকটা অন্যমনস্কভাবে হাতের কাছে যা পেয়েছে স্যুটকেসে ভরেছে।
একটি গহিন গ্রাম,সে তখনো বিশ্বাস করেনি যে সত্যি সত্যি এটা ঘটছে।
একটি গহিন গ্রাম,"স্যুটকেসের মধ্যে তার কিছু জামাকাপড় আছে, কিছু বই।"
একটি গহিন গ্রাম,"তার কম্পিউটারটা আনতে পারলে হতো, কিন্তু আম্মু বলেছেন, তারা যেখানে যাচ্ছে তার আশপাশে কোথাও ইলেকট্রিসিটি নেই।"
একটি গহিন গ্রাম,"তা ছাড়া এত বড় একটা কম্পিউটার, সেটা আনবে কেমন করে?"
একটি গহিন গ্রাম,এই স্যুটকেসটা আনতেই কত ঝামেলা হয়েছে।
একটি গহিন গ্রাম,রাশা রিকশা-ভ্যান থেকে টেনে স্যুটকেসটা নামাল।
একটি গহিন গ্রাম,"নিচে চাকা লাগানো আছে, রাস্তা ভালো হলে টেনে নেওয়া যেত।"
একটি গহিন গ্রাম,কাদামাটির এই কাঁচা রাস্তায় কেমন করে নেবে সে জানে না।
একটি গহিন গ্রাম,"আম্মু রিকশাওয়ালাকে বললেন, ‘আমি কিন্তু আজকেই ফিরে যাব।"
একটি গহিন গ্রাম,মনে আছে তো?
একটি গহিন গ্রাম,"কাউকে
পাওয়া যাবে?"
একটি গহিন গ্রাম,কেউ নিয়ে যাবে না তো?
একটি গহিন গ্রাম,কেউ নিবে না।
একটি গহিন গ্রাম,এই গাঁও-গেরামে সবাই সবাইরে চিনে।
একটি গহিন গ্রাম,"আম্মু মাঝেমধ্যে থেমে রাশার সঙ্গে একটা-দুইটা কথা বলার চেষ্টা করেছেন কিন্তু রাশা হু-হ্যাঁ ছাড়া আর কিছু বলেনি, তাই আলাপ বেশি দূর এগোতে পারেনি।"
একটি গহিন গ্রাম,গ্রামের কাঁচা রাস্তায় হাঁটতে হাঁটতে রাশা দুই পাশে তাকাচ্ছিল।
একটি গহিন গ্রাম,"যদি স্কুলের সব ছেলেমেয়েকে নিয়ে এখানে পিকনিক করতে আসত তাহলে এতক্ষণে চারপাশের খেত, মাঠ, খাল, গাছপালা, গরু, ছাগল, পাখি—এসব দেখে সবাই উচ্ছ্বসিত হয়ে উঠত।"
একটি গহিন গ্রাম,"সবাই মিলে মাঠে দৌড়াদৌড়ি করত, খালের পানিতে লাফঝাঁপ দিত, গরু-বাছুর ধরে ছবি তুলত।"
একটি গহিন গ্রাম,"এখন সবকিছুকে মনে হচ্ছে, পুরোপুরি অর্থহীন।"
একটি গহিন গ্রাম,"মেঠোপথে মানুষজন খুব বেশি নেই, হঠাত্ এক-দুইজনকে দেখা যায়, তারা তখন কৌতূহলী হয়ে তাদের দিকে মাথা ঘুরিয়ে ঘুরিয়ে তাকায়।"
একটি গহিন গ্রাম,"রাশাও একবার ঘুরে একটা মেয়ের দিকে তাকাল, আট-নয় বছরের শুকনো লিকলিকে একটা মেয়ে, কুচকুচে কালো গায়ের রং, মাথার লাল চুল রুক্ষ—বাতাসে উড়ছে, খালি গা, শুধু একটা বেঢপ প্যান্ট পরে আছে।"
একটি গহিন গ্রাম,"হাতে একটা চিকন বাঁশের কঞ্চি, সেটা হাতে নিয়ে উদাস মুখে সে একটা বিশাল ষাঁড়কে নিয়ে যাচ্ছে।"
একটি গহিন গ্রাম,"ষাঁড়ের মাথায় ধারালো শিং, লাল ক্রুদ্ধ চোখ দেখে রাশার ভয়ে বুক কেঁপে ওঠে, কিন্তু এই লিকলিকে ছোট মেয়েটির বুকে কোনো ভয়ডর নেই, রাশা অবাক হয়ে তার দিকে তাকিয়ে থাকে ।"
একটি গহিন গ্রাম,"একটা বড় বটগাছের নিচে দাঁড়িয়ে আম্মু বললেন, “ওই যে তালগাছটা দেখছিস, সেটা হচ্ছে তোর নানু বাড়ি।”"
একটি গহিন গ্রাম,"আম্মু বললেন, “আগে দুইটা
তালগাছ ছিল, একটা বাজ পড়ে পুড়ে গেছে।”"
একটি গহিন গ্রাম,"রাশা এবারেও কোনো কথা বলল না, ‘তাকিয়ে কল্পনা করার চেষ্টা করল, দুটো তালগাছ হলে সেটা কেমন দেখাত ।"
একটি গহিন গ্রাম,"ধীরে ধীরে রাস্তাটা আরও সরু হয়ে গেল, একেবারে শেষে একটা বাঁশের সাঁকো পার হতে হলো।"
একটি গহিন গ্রাম,"আম্মু তাঁর স্যান্ডেল দুটো খুলে হাতে নিয়ে নিলেন, রাশা জুতো পরেই পার হয়ে গেল।"
একটি গহিন গ্রাম,"কিছু ঝোপঝাড় পার হয়ে একটা বিবর্ণ টিনের ঘরের সামনে দাঁড়িয়ে আম্মু বললেন, ‘এইটা তোর নানু বাড়ি।"
একটি গহিন গ্রাম,"টেলিভিশনে মাঝেমধ্যে যখন কোনো গ্রামগঞ্জের খবর দেখায়, তখন সে খবরের মধ্যে এ রকম বাড়ির ছবি দেখেছে—এই প্রথমবার সত্যি সত্যি দেখল।"
একটি গহিন গ্রাম,"বাইরের টিনের ঘরের পাশ দিয়ে আম্মু ভেতরে ঢুকলেন, মাঝখানে খালি একটা উঠান, তার দুই পাশে দুটি ঘর।"
একটি গহিন গ্রাম,"একটা ঘরে টিনের ছাদ, অন্যটার খড়ের ছাউনি।"
"রিটিন
",বিশাল হলঘরের মাঝখানে একটা গ্রানাইটের টেবিল।
"রিটিন
",টেবিলের অন্যপাশে সোনালি চুলের মাঝবয়সী একজন মহিলা বসে তীক্ষ্ণ চোখে রিটিনের দিকে তাকিয়ে আছে।
"রিটিন
","রিটিন খুব মনোযোগ দিয়ে তার হাতের নখগুলো পরীক্ষা করছে, তাকে দেখলে মনে হবে এই মুহূর্তে তার হাতের নখগুলো দেখা খুবই জরুরি।"
"রিটিন
","সোনালি চুলের মহিলা জোর করে মুখে একটা হাসি ফুটিয়ে বলল, “তুমি কী করতে
চাও?”"
"রিটিন
",আমি লেখাপড়া করতে চাই।
"রিটিন
",লেখাপড়া করে গবেষণা করতে চাই।
"রিটিন
",তুমি খুব ভালো করে জান কে কী করবে সেটি পূর্ব নির্ধারিত।
"রিটিন
",গত একশ বছর থেকে মানুষকে জেনেটিক উপায়ে ডিজাইন করা হয়।
"রিটিন
",যারা লেখাপড়া করবে তাদের সেভাবে ডিজাইন করতে হয়।
"রিটিন
",তোমাকে করা হয়নি।
"রিটিন
",আমাকে আমি ডিজাইন করিনি।
"রিটিন
","তোমাকে করা হয়নি, তুমি ক্যাটাগরি সি মানুষ।"
"রিটিন
","ক্যাটাগরি সি মানুষ লেখাপড়া করে না, গবেষণা করে না।"
"রিটিন
","তারা শারীরিক পরিশ্রমের কাজ করে”
রিটিন সোনালি চুলের মহিলাকে বাধা দিয়ে বলল, “আমি এসব জানি।”"
"রিটিন
",যদি আমার লেখাপড়ার সুযোগ থাকত আমি সায়েন্স ইনস্টিটিউটে গিয়ে ভর্তি হয়ে যেতাম।
"রিটিন
","তার নিয়ম নেই, তারা আমাকে সেখানে ঢুকতেই দেবে না।"
"রিটিন
",তাই আমি তোমার কাছে এসেছি।
"রিটিন
",যেখানে নিয়ম থাকে সেখানেই নিয়ম পরিবর্তনের উপায় থাকে।
"রিটিন
","নিয়ম ভাঙার জন্যে নিয়ম করা হয় না-”
“নিয়ম ভাঙা আর নিয়ম পরিবর্তন করা এক জিনিস নয়।”"
"রিটিন
",আমি নিয়ম ভাঙতে চাইছি না একটুখানি পরিবর্তন করতে চাইছি।
"রিটিন
",আমাকে পরীক্ষা করে দেখা হোক আমি লেখাপড়া করার উপযুক্ত কি না।
"রিটিন
",দেখা হোক আমি ক্যাটাগরি এ মানুষের সমান পর্যায়ের কি না।
"রিটিন
",তার পরে সুযোগ দেয়া হোক!
"রিটিন
","সেই পরীক্ষাটার ফল অনুযায়ী তুমি ক্যাটাগরি সি-”
রিটিন হঠাৎ একটু ঝুঁকে মহিলাটির দিকে তাকিয়ে বলল, “তুমি কি মানুষ না রোবট?”"
"রিটিন
",সম্পর্ক আছে।
"রিটিন
",তুমি যদি রোবট না হয়ে মানুষ হতে তাহলে তুমি সম্পর্কটা ধরতে পারতে।
"রিটিন
",যেহেতু ধরতে পারছ না তার অর্থ তুমি রোবট।
"রিটিন
",আমি শুধু শুধু একটা রোবটের সাথে কথা বলে সময় নষ্ট করলাম।
"রিটিন
",ইচ্ছাও নেই।
"রিটিন
","সত্যি কথা বলতে কি, আমার এখন সন্দেহ হচ্ছে টেবিলের ঐ পাশে তুমি কি আসলেই আছ নাকি এটাও একটা হলোগ্রাফিক ছবি।"
"রিটিন
",আমি কি তোমাকে ছুঁয়ে দেখতে পারি?
"রিটিন
",এটি শালীনতার মাঝে পড়ে না।
"রিটিন
",আর একটা হলোগ্রাফিক ছবিকে ছোঁয়ার চেষ্টা করলে শালীনতা নষ্ট হয়?
"রিটিন
","তবে-”
“তবে কী?”"
"রিটিন
",না!
"রিটিন
","মেটাকোড—”
রিটিন মহিলাটির কথার কোনো গুরুত্ব না দিয়ে বলে যেতে থাকে, “ছয় ছয় তিন ছয় নয় আট শূন্য-” মহিলাটি তীক্ষ্ণ একটি যন্ত্রণার শব্দ করল, তারপর থরথর করে কাঁপতে থাকলে।”"
"রিটিন
","কপালের ভেতর থেকে একটা আলো জ্বলতে শুরু করে, শরীরে কেমন জানি খিচুনি হতে থাকে।"
"রিটিন
","রিটিন বিকল হতে শুরু করা রোবটটার দিকে তাকিয়ে বলতে থাকল, “সাত চার দুই ছয় পাঁচ চার দুই পাঁচ—-”
ইচ্ছা করলে সে আরো বলতে পারত কিন্তু আর প্রয়োজন নেই।”"
"রিটিন
",রোবটটি পুরোপুরি বিকল হয়ে গেছে!
"রিটিন
",সংখ্যা বলা থামিয়ে রিটিন হেঁটে যেতে থাকে।
"রিটিন
",বিশাল হলঘরের শেষ মাথায় দরজা।
"রিটিন
","রিটিন জানে আসলে এটা বিশাল হলঘর নয়, এটা ছোট একটা খুপরি।"
"রিটিন
",আলো অন্ধকারের খেলা দিয়ে বিশাল হলঘরের একটা অনুভূতি দেয়া হয়েছে।
"রিটিন
","এই যে সে দরজার দিকে হেঁটে যাচ্ছে, তার মনে হচ্ছে অনেক দূরে হলঘরের শেষ মাথায় দরজা, আসলে দরজাটি একেবারে হাতের কাছে, পায়ের নিচে মেঝেটুকু সরে যাচ্ছে তাই পৌঁছাতে সময় লাগছে।"
"রিটিন
",সবকিছুই আসলে এক ধরনের প্রতারণা।
"রিটিন
","সত্যি বিষয়গুলো কখনোই কাউকে জানানো হয় না, সবসময়েই প্রতারণা করা হয়।"
"রিটিন
",এটাকে কেউ অবশ্যি আর প্রতারণা মনে করে না।
"রিটিন
",সবাই এটাকেই জীবনের অংশ হিসেবে মেনে নিয়েছে।
"রিটিন
",হলঘরের দরজা খুলে বের হয়ে রিটিন একটা নিঃশ্বাস ফেলল।
"রিটিন
","তার জীবনের একটাই স্বপ্ন ছিল সে লেখাপড়া করবে, গবেষণা করবে।"
"রিটিন
",ক্যাটাগরি সি মানুষের সেই সুযোগ নেই এটাও সে জানে।
"রিটিন
",কিন্তু তার ধারণা ছিল তাকে কথা বলার সুযোগ দিলে সে ব্যাপারটা বুঝিয়ে দিতে পারবে।
"ইস্টিশন
","মায়া চিৎকার করে বলল, “টেরেন আহে।”"
"ইস্টিশন
",টেরেন!
"ইস্টিশন
",সে আসলে বলার চেষ্টা করেছে”ট্রেন আসছে-ট্রেন!
"ইস্টিশন
","তাকে কেউ অবশ্যি সেটা শুদ্ধ করে দেবার চেষ্টা করে না, কারণ রেলস্টেশনে সে অন্য যে কয়জন বাচ্চা-কাচ্চার সাথে থাকে তারাও ট্রেন আর টেরেন কিংবা ড্রাম আর ডেরামের মাঝে পার্থক্যটা ভালো করে ধরতেও পারে না, বলতেও পারে না।"
"ইস্টিশন
","মায়ার চিৎকার শুনে জালাল আর তার সাথে সাথে অন্যেরাও মাথা ঘুরিয়ে রেল লাইনের দিকে তাকাল, দূরে ট্রেনটাকে দেখা যাচ্ছে-আন্তঃনগর জয়ন্তিকা।"
"ইস্টিশন
",পাকা দেড়ঘণ্টা লেট।
"ইস্টিশন
","জালালের হাতে একটা তরমুজের টুকরা, তার মাঝে যেটুকু খাওয়া সম্ভব সেটুকু সে অনেক আগেই খেয়ে ফেলেছে তারপরেও সে অন্যমনস্কভাবে টুকরাটাকে কামড়া-কামড়ি করছিল।"
"ইস্টিশন
","তরমুজটা এনেছে মজিদ, ফুট মার্কেটের পাশে দিয়ে আসার সময় প্রত্যেক দিনই সে কলাটা না হয় আপেলটা চুরি করে আনে।"
"ইস্টিশন
",স্টেশনে এসে সে প্লাটফর্মের রেলিংয়ে বসে পা দুলিয়ে দুলিয়ে সবাইকে দেখিয়ে তৃপ্তি করে খায়।
"ইস্টিশন
",আজকে সে কীভাবে জানি আস্ত একটা তরমুজ নিয়ে এসেছে।
"ইস্টিশন
","কলাটা কিংবা আপেলটা চুরি করে আনা সম্ভব, তাই বলে আস্ত একটা তরমুজ?"
"ইস্টিশন
","কীভাবে এতো বড় একটা তরমুজ চুরি করে এনেছে মজিদকে সেটা জিজ্ঞেস করে অবশ্যি কোনো লাভ হল না, সে কিছুই বলতে রাজি হল না।"
"ইস্টিশন
",আস্ত একটা তরমুজ মজিদের একার পক্ষে খেয়ে শেষ করা সম্ভব না তাই সে আজকে অন্যদেরও ভাগ দিয়েছে।
"ইস্টিশন
",তরমুজটা ভাগাভাগি করার সময় অবশ্যি মায়া কিংবা মরি মতো ছোট বাচ্চাগুলো বেশি সুবিধে করতে পারেনি।
"ইস্টিশন
","জালাল, জেবা আর শ হজাহানের মতো একটু বড়রাই তরমুজটা কাড়াকাড়ি করে নিয়েছে।"
"ইস্টিশন
","ট্রেনটা আরো কাছে চলে এসেছে, রেল লাইনে হালকা একটা কাঁপুনি টের পাওয়া যাচ্ছে।"
"ইস্টিশন
",জালাল তার হাতের তরমুজের টুকরাটা রেললাইনে ছুঁড়ে ফেলে দিয়ে উঠে দাঁড়াল।
"ইস্টিশন
",তারপর হঠাৎ সবাই একসাথে হইহই করে ট্রেনের দিকে ছুটতে শুরু করে।
"ইস্টিশন
",জালাল কিংবা মায়ার মতো যারা স্টেশনেই থাকে তাদের কাছে ট্রেনটাই হচ্ছে বেঁচে থাকার উপায়।
"ইস্টিশন
",এই ট্রেনের ওপরেই তাদের থাকা-খাওয়া সবকিছু নির্ভর করে।
"ইস্টিশন
","ট্রেনে যে যত আগে উঠতে পারবে কিছু একটা আয় রোজগার করার সম্ভাবনা তার তত বেড়ে যাবে, তাই সবাই ট্রেন থামার আগেই লাফিয়ে সেটাতে ওঠার চেষ্টা করে।"
"ইস্টিশন
",সবার আগে জালাল বিপজ্জনকভাবে লাফ দিয়ে ট্রেনের একটা বগিতে উঠে গেল।
"ইস্টিশন
","প্রায় সাথে সাথে জেবা, মজিদ, শাহজাহানও লাফিয়ে একেকজন একেকটা বগিতে উঠে পড়ল।"
"ইস্টিশন
","মায়া কিংবা মতির মতো যারা ছোট, যারা এখনো লাফিয়ে চলন্ত ট্রেনে ওঠা শিখেনি তারা ট্রেনটার পাশাপাশি ছুটতে থাকে-ট্রেনটা থামলে যত তাড়াতাড়ি সম্ভব তারা ট্রেনে উঠবে।"
"ইস্টিশন
",ট্রেনের বগিতে উঠেই জালাল সতর্ক চোখে প্যাসেঞ্জারদের লক্ষ করে।
"ইস্টিশন
","ট্রেন দেড়ঘণ্টা লেট করে এসেছে তাই প্যাসেঞ্জারদের পেটে খিদে, সবাই কম-বেশি ক্লান্ত, সবারই মেজাজ কম-বেশি খারাপ।"
"ইস্টিশন
",এর মাঝে জালালের মতো রাস্তার একটা বাচ্চাকে ট্রেনের মাঝে ছোটাছুটি করতে দেখে তাদের মেজাজ আরো গরম হয়ে উঠতে লাগল।
"ইস্টিশন
","জালালের মতোই অন্যেরাও ট্রেনের বগিতে ছোটাছুটি করে সিটের উপরে, সিটের নিচে তাকাতে তাকাতে এগিয়ে যায়।"
"ইস্টিশন
","খালি পানির বোতল, ফেলে যাওয়া চিপসের প্যাকেট, খবরের কাগজ, আধ খাওয়া আপেল কুড়াতে কুড়াতে তারা ছুটতে থাকে।"
"ইস্টিশন
","তাদের ছোট ছোট নোংরা শরীরের ধাক্কা খেয়ে প্যাসেঞ্জাররা খুবই বিরক্ত হয়, দুই একজন মুখ খিঁচিয়ে তাদের গালাগালিও করে।"
"ইস্টিশন
",বাচ্চাগুলো অবশ্যি সেই গালাগালকে কোনো পাত্তা দেয় না।
"ইস্টিশন
","তারা পথে-ঘাটে গালাগাল চড়-থাপড় খেয়ে বড় হয়েছে, মুখের গালাগাল তাদের জন্যে কোনো ব্যাপারই না।"
"ইস্টিশন
",সত্যি কথা বলতে কী তারা এই গালাগাল ভালো করে শুনতেও পায় না।
"ইস্টিশন
","জালাল প্যাসেঞ্জারদের চোখ-মুখের দিকে তাকিয়ে মাঝারি বয়সের একজনকে বের করল, মানুষটা ব্যাগ হাতে নিয়ে দাঁড়িয়ে আছে।"
"ইস্টিশন
",ট্রেন থেমে যাবার সাথে সাথে নেমে যাবার জন্যে ব্যস্ত।
"ইস্টিশন
",চেহারা দেখে মনে হয় মানুষটার মাঝে একটু দয়া-মায়া আছে।
"ইস্টিশন
","জালাল কাছে গিয়ে মাথাটা বাঁকা করে নিজের চেহারার মাঝে একটা দুঃখি দুঃখি ভাব ফুটিয়ে নিয়ে নিচু গলায় বলল, “স্যার!”"
"ইস্টিশন
",ব্যাগটা নিয়া দেই?
"ইস্টিশন
",যা-ভাগ।
"ইস্টিশন
",কিছু খাই নাই।
"ইস্টিশন
",পেটে ভুখ।
"ইস্টিশন
",স্টেশনের পাশে জালালীয়া হোটেল এন্ড রেস্টুরেন্ট।
"ইস্টিশন
",সকালবেলা সেখানে যখন মুরগি জবাই করছে তখন একটা মুরগি কেমন করে জানি ছুটে গেল।
"ইস্টিশন
",কঁক কঁক করে ডাকতে ডাকতে সেটা নালার উপর দিয়ে দৌড়াতে লাগল।
"ইস্টিশন
",শুধু তাই না মুরগি হওয়ার পরও পাখির মতো ডানা ঝাঁপটিয়ে উড়ে সেটা রেলওয়ে গেস্ট হাউজের দেয়ালের উপর উঠে গেল।
"ইস্টিশন
",জালাল সেই দুর্ধর্ষ মুরগিটাকে ধরে এনে দিয়েছে।
"ইস্টিশন
",হোটেল ম্যানেজার সেই জন্যে তাকে দুপুরবেলা এক পেট খেতে দিয়েছে।
"ইস্টিশন
","ভাত, বিফ ফ্রাই আর ডাল।"
"ইস্টিশন
","হোটেলের রান্নাঘরের কাছে যেখানে মোটা মোটা মহিলারা বসে পেঁয়াজ কাটে সেখানে বসে সে অনেকদিন পর তৃপ্তি করে খেয়েছে- যতবার বলেছে”আরো ভাত” ততবার তাকে ভাত দিয়েছে, সাথে বিফ ফ্রাইয়ের ঝোল আর ডাল।"
"ইস্টিশন
",তারপর স্টেশনে এসে মজিদের চুরি করে আনা তরমুজের বিশাল একটা টুকরা খেয়েছে।
"ইস্টিশন
","কাজেই পেটে আর যাই থাকুক খিদে নাই-কিন্তু এই কথাগুলো
তো আর প্যাসেঞ্জারদের জানার দরকার নেই।"
"ইস্টিশন
","জালাল মুখ আরো কাচুমাচু করে বলল, “ব্যাগটা নিয়া দেই?”"
"ইস্টিশন
",পেটে খিদা একটু ভাত খামু।
"

আরো টুনটুনি ও আরো ছোটাচ্চু",টুনিদের স্কুলের সবচেয়ে ভয়ঙ্কর ম্যাডামের নাম মারদানা ম্যাডাম।
"

আরো টুনটুনি ও আরো ছোটাচ্চু",মহিলাদের গোঁফ থাকার কথা না কিন্তু টুনিদের স্কুলে বলাব আছে।
"

আরো টুনটুনি ও আরো ছোটাচ্চু","কথাটা শুনে অনেকেই ভুরু কুঁচকাতে পারে, একজন মানুষের গোঁফ আছে কি নেই সেটা নিয়ে বলাবলি করার কী আছে?"
"

আরো টুনটুনি ও আরো ছোটাচ্চু",তার মুখের দিকে তাকালেই তো সেটা দেখা যাবে।
"

আরো টুনটুনি ও আরো ছোটাচ্চু","কিন্তু আসলে তার মুখের দিকে তাকালে সেটা বোঝা যায় না, তার কারণ মারদানা ম্যাডামের গায়ের রং কুচকুচে কালো এবং তার গোঁফ যদি আসলেই থেকে থাকে সেটার রংও কুচকুচে কালো, তাই সেটা আলাদা করে দেখা যায় না।"
"

আরো টুনটুনি ও আরো ছোটাচ্চু","খুব কাছে গেলে অবশ্যই সেটা দেখা যাবে, কিন্তু কার ঘাড়ে দুইটা মাথা আছে যে মারদানা ম্যাডামের কাছে গিয়ে পরীক্ষা করবে তার গোঁফ আছে কি নেই!"
"

আরো টুনটুনি ও আরো ছোটাচ্চু","যে সমস্ত ছেলেমেয়েদেরকে মারদানা ম্যাডাম কাঁচা চিবিয়ে খেয়েছেন (ঠিক আক্ষরিক অর্থে না, ভয়ঙ্কর শাস্তি দেওয়ার অর্থে) তারা সবাই এক বাক্যে স্বীকার করেছে যে মারদানা ম্যাডামের নাকের নিচে ঝাঁটার মতো কালো গোঁফ।"
"

আরো টুনটুনি ও আরো ছোটাচ্চু",তারা আরো বলেছে যে তার চোখের মাঝে মোটা হয়ে থাকা লাল লাল রক্তনালি-সেগুলো নাকি দপদপ করে কাঁপে এবং তার মুখে নাকি মাংসাশি প্রাণীর মতো গন্ধ।
"

আরো টুনটুনি ও আরো ছোটাচ্চু","যাই হোক এর সবগুলো পরীক্ষা করে দেখা সম্ভব না, কাজেই কেউ কখনো এই বিষয়গুলো নিশ্চিত করার চেষ্টা করেনি।"
"

আরো টুনটুনি ও আরো ছোটাচ্চু","টুনিদের ক্লাশ মনিটর বলেছে মানুষ যখন বুড়ো হয় তখন নাকি সবার আগে গোঁফ পাকতে শুরু করে, কাজেই যদি সত্যি সত্যি মারদানা ম্যাডামের গোঁফ থেকে থাকে তাহলে আর কয়েক বছরের ভেতর সেগুলো পেকে সাদা হয়ে যাবে, তখন তার কুচকুচে কালো রঙের মাঝে সাদা গোঁফ খুব স্পষ্টভাবে দেখা যাবে।"
"

আরো টুনটুনি ও আরো ছোটাচ্চু",তখন সব বিতর্ক বন্ধ হয়ে যাবে।
"

আরো টুনটুনি ও আরো ছোটাচ্চু",এই যে ভয়ঙ্কর মারদানা ম্যাডাম তার থেকেও ভয়ঙ্কর স্যার হচ্ছে মতিউর স্যার।
"

আরো টুনটুনি ও আরো ছোটাচ্চু",এই স্যার নিয়েও স্কুলে নানা রকম গুজব চালু আছে।
"

আরো টুনটুনি ও আরো ছোটাচ্চু","যে গুজবটা সবচেয়ে বেশি চালু সেটা
লি করা হয় যে মারদানা ম্যাডামের গোঁফ হচ্ছে উনিশ শ' একাত্তর সালে মতিউর স্যার রাজাকার কমান্ডার ছিল, দেশ স্বাধীন হলে গ্রামের মানুষেরা ধরে তার কান কেটে দিয়েছে।"
"

আরো টুনটুনি ও আরো ছোটাচ্চু","মতিউর স্যারের ডান কানটা নাকি রাবারের তৈরি, প্রত্যেক দিন সকালে স্কুলে আসার সময় সুপার গ্লু দিয়ে কানটা নাকি লাগিয়ে নেয়।"
"

আরো টুনটুনি ও আরো ছোটাচ্চু","বিষয়টা পরীক্ষা করা খুব সোজা, ডান কানটা ধরে একটা হঁচকা টান দিলেই সেটা নিশ্চয়ই খুলে আসবে কিন্তু সেটা কে করবে?"
